WARD,YEAR,OFFENSE,COUNT
7.0,2024,THEFT/OTHER,1206
7.0,2025,ARSON,2
7.0,2025,ASSAULT W/DANGEROUS WEAPON,119
7.0,2025,BURGLARY,65
7.0,2025,HOMICIDE,24
7.0,2025,MOTOR VEHICLE THEFT,568
7.0,2025,ROBBERY,155
7.0,2025,SEX ABUSE,9
7.0,2025,THEFT F/AUTO,408
7.0,2025,THEFT/OTHER,640
8.0,2019,ARSON,3
8.0,2019,ASSAULT W/DANGEROUS WEAPON,363
8.0,2019,BURGLARY,195
8.0,2019,HOMICIDE,65
8.0,2019,MOTOR VEHICLE THEFT,276
8.0,2019,ROBBERY,298
8.0,2019,SEX ABUSE,39
8.0,2019,THEFT F/AUTO,670
8.0,2019,THEFT/OTHER,1101
8.0,2020,ARSON,1
8.0,2020,ASSAULT W/DANGEROUS WEAPON,448
8.0,2020,BURGLARY,164
8.0,2020,HOMICIDE,62
8.0,2020,MOTOR VEHICLE THEFT,421
8.0,2020,ROBBERY,358
8.0,2020,SEX ABUSE,38
8.0,2020,THEFT F/AUTO,650
8.0,2020,THEFT/OTHER,792
8.0,2021,ARSON,1
8.0,2021,ASSAULT W/DANGEROUS WEAPON,453
8.0,2021,BURGLARY,144
8.0,2021,HOMICIDE,82
8.0,2021,MOTOR VEHICLE THEFT,433
8.0,2021,ROBBERY,340
8.0,2021,SEX ABUSE,34
8.0,2021,THEFT F/AUTO,586
8.0,2021,THEFT/OTHER,851
8.0,2022,ARSON,1
8.0,2022,ASSAULT W/DANGEROUS WEAPON,418
8.0,2022,BURGLARY,149
8.0,2022,HOMICIDE,78
8.0,2022,MOTOR VEHICLE THEFT,509
8.0,2022,ROBBERY,335
8.0,2022,SEX ABUSE,30
8.0,2022,THEFT F/AUTO,466
8.0,2022,THEFT/OTHER,816
8.0,2023,ARSON,4
8.0,2023,ASSAULT W/DANGEROUS WEAPON,443
8.0,2023,BURGLARY,150
8.0,2023,HOMICIDE,99
8.0,2023,MOTOR VEHICLE THEFT,1015
8.0,2023,ROBBERY,506
8.0,2023,SEX ABUSE,37
8.0,2023,THEFT F/AUTO,564
8.0,2023,THEFT/OTHER,1008
8.0,2024,ARSON,1
8.0,2024,ASSAULT W/DANGEROUS WEAPON,338
8.0,2024,BURGLARY,167
8.0,2024,HOMICIDE,65
8.0,2024,MOTOR VEHICLE THEFT,733
8.0,2024,ROBBERY,281
8.0,2024,SEX ABUSE,24
8.0,2024,THEFT F/AUTO,502
8.0,2024,THEFT/OTHER,878
8.0,2025,ASSAULT W/DANGEROUS WEAPON,172
8.0,2025,BURGLARY,87
8.0,2025,HOMICIDE,38
8.0,2025,MOTOR VEHICLE THEFT,445
8.0,2025,ROBBERY,146
8.0,2025,SEX ABUSE,13
8.0,2025,THEFT F/AUTO,216
8.0,2025,THEFT/OTHER,516
